 uid |       unombre        |    rut     | edad |  sexo  | contraseña
-----+----------------------+------------+------+--------+------------
   0 | Oliver Huff          | 18167947-6 |   47 | mujer  | QQfs
   1 | Jobe Campos          | 72810804-5 |   54 | mujer  | dZJu
   2 | Taylan Wilks         | 44253237-0 |   23 | hombre | HRte
   3 | Rhea Gale            | 45026478-4 |   55 | mujer  | qGAP
   4 | Eshaal Searle        | 75576764-6 |   47 | mujer  | wMBu
   5 | Nazia Quintero       | 64879120-8 |   18 | mujer  | UYpK
   6 | Joshua Vo            | 69373271-9 |   23 | hombre | sTQ9
   7 | Chay Sutherland      | 10517073-4 |   22 | mujer  | SAEq
   8 | Riaan Mays           | 98708700-5 |   48 | mujer  | gbJR
   9 | Harvie Forbes        | 58945079-5 |   23 | hombre | qnBd
  10 | Safia Potts          | 75270010-9 |   22 | mujer  | URHG
  11 | Sidrah Mclellan      | 98683815-5 |   23 | hombre | uvTp
  12 | Josh Small           | 72939187-5 |   57 | mujer  | ihEM
  13 | Nikkita Dodson       | 20297901-7 |   33 | mujer  | xCbk
  14 | Rikki Hewitt         | 77209293-8 |   55 | mujer  | TkAT
  15 | Jameson Valdez       | 18665525-7 |   23 | hombre | vRB8
  16 | Kornelia Drummond    | 50062649-6 |   46 | hombre | wUFj
  17 | Mina Hebert          | 85973291-7 |   54 | mujer  | V8I3
  18 | Sami Suarez          | 51153844-0 |   59 | hombre | RjlC
  19 | Rex Mckenzie         | 54076655-k |   30 | hombre | Xkw
  20 | Asha Mckee           | 94821886-0 |   38 | mujer  | AZgw
  21 | Fleur Sheppard       | 36552322-3 |   50 | mujer  | LxwO
  22 | Orla Mcclure         | 32366948-1 |   54 | mujer  | SECR
  23 | Lianne Mccoy         | 77477421-1 |   21 | mujer  | pT4J
  24 | Logan Kramer         | 13572944-2 |   58 | mujer  | Td45
  25 | Aamina Bean          | 79725605-6 |   60 | hombre | OoW9
  26 | Zaynah Kennedy       | 66183219-3 |   29 | hombre | oAAR
  27 | Melvin Perez         | 40675138-4 |   34 | hombre | rxXf
  28 | Alan Bonner          | 23000993-7 |   37 | hombre | rz1G
  29 | Madihah Haas         | 88198898-4 |   41 | hombre | 7dcH
  30 | Roman Thomas         | 66199185-2 |   25 | mujer  | 6MDF
  31 | Rivka Finley         | 16008678-5 |   60 | hombre | FXxi
  32 | Dina Herman          | 36625090-5 |   22 | hombre | Zivs
  33 | Aubree Ridley        | 87813399-4 |   58 | mujer  | l744
  34 | Lilianna Maxwell     | 93900888-8 |   50 | hombre | eWyZ
  35 | Sayed Edwards        | 30862862-0 |   43 | hombre | x2ir
  36 | Patrik Rollins       | 43922451-7 |   45 | hombre | cUEf
  37 | Romilly Becker       | 95520055-1 |   24 | mujer  | Aq94
  38 | Zayne David          | 75016224-k |   18 | mujer  | wJCn
  39 | Charlton Bridges     | 76591179-6 |   22 | hombre | stWj
  40 | Ewan Chadwick        | 87081187-k |   40 | hombre | qbw6
  41 | Ewen Little          | 36081017-8 |   49 | mujer  | YL6x
  42 | Arjan Mcdermott      | 80291272-2 |   26 | mujer  | thRO
  43 | Toby Mcarthur        | 37200573-4 |   18 | hombre | k2K4
  44 | Mahi Ross            | 56535213-k |   34 | mujer  | hljQ
  45 | Benjamin Shaw        | 77796005-9 |   34 | mujer  | XytQ
  46 | Laylah Grey          | 40350724-5 |   46 | mujer  | dp2O
  47 | Dottie Chase         | 56499633-5 |   37 | hombre | uOyX
  48 | Bevan Pineda         | 23526948-1 |   35 | hombre | 5C8r
  49 | Abubakar Gentry      | 86664654-6 |   41 | hombre | h6iP
  50 | Tehya Galvan         | 52916249-9 |   28 | hombre | wAQk
51 | Darsh Bloom          | 62785039-5 |   45 | hombre | TFIv
  52 | Lucille Wilkerson    | 22145359-k |   39 | mujer  | KB5F
  53 | Tj Romero            | 63951440-4 |   58 | mujer  | JoIv
  54 | Lamar Bailey         | 97004364-0 |   49 | hombre | qnP7
  55 | Deanna Wilder        | 47666047-5 |   29 | hombre | tbzN
  56 | Tasha Nicholson      | 88730119-0 |   58 | mujer  | qN9Z
  57 | Connor Prosser       | 53211068-8 |   35 | hombre | d0Lb
  58 | Musab Ayala          | 14046488-0 |   19 | hombre | wJ6E
  59 | Khushi Mayo          | 31706054-8 |   40 | mujer  | 8Ar9
  60 | Ruby-Leigh Gallagher | 23298212-8 |   22 | mujer  | 5N7r
  61 | Malcolm Plant        | 57836259-2 |   20 | mujer  | g525
  62 | Mahir Nunez          | 97657967-4 |   46 | mujer  | PaIi
  63 | Gerrard Quintana     | 59814228-9 |   57 | mujer  | Z2ng
  64 | Abbas Emerson        | 89336201-0 |   34 | hombre | gD1M
  65 | Anjali Rojas         | 94432090-3 |   42 | mujer  | jeSU
  66 | Dollie Rivers        | 92170041-5 |   45 | mujer  | GFbE
  67 | Inigo Castro         | 64272663-3 |   32 | mujer  | FqRT
  68 | Jeremy Dunn          | 91790173-2 |   18 | mujer  | zSKw
  69 | Kailum Parry         | 45467235-6 |   21 | hombre | ZGZc
  70 | Aleena Parra         | 99075946-4 |   45 | hombre | xb4M
  71 | Lylah Mcguire        | 96392316-3 |   57 | hombre | 9LrD
  72 | Lester Beard         | 73342699-3 |   60 | hombre | nb49
  73 | Antonina Guzman      | 47865441-3 |   57 | hombre | MsdA
  74 | Hunter Solomon       | 88772168-8 |   24 | hombre | UbPO
